feature,importance_gain,importance_split
country_of_citizenship,190758.43057870865,8105
as_of_year,159242.3854265213,1821
value_diff_1,136880.89422512054,1565
log_value,79128.86066007614,1725
age,68848.62309408188,1373
as_of_month,50445.77774429321,1102
value_diff_3,42178.40289878845,1006
international_caps,33455.159630298615,969
age_minus_position_peak,32313.757423877716,1122
value_lag_1,28500.524075984955,766
value_diff_2,27330.672983169556,1129
sub_position,22980.709126472473,1695
gap_to_prev_days,22884.222539424896,1444
value_lag_2,22287.249356269836,622
days_since_first_valuation,20433.26830816269,855
months_since_peak,14725.05231142044,1014
value_lag_5,13390.395347118378,661
log_value_career_std,13290.649487018585,1193
team_minutes_6mo,10708.43514251709,837
height_in_cm,9769.02973651886,736
goals_6mo_zscore_vs_pos,9586.22188615799,602
club_id,9219.935850143433,774
minutes_share_team_6mo,9191.197834014893,532
value_lag_3,8997.744261264801,481
international_goals,8787.985815048218,346
value_lag_4,8503.55968427658,458
log_value_career_mean,8243.264454841614,719
weighted_minutes_6mo,7855.867548942566,538
assists_6mo_zscore_vs_pos,7261.791625022888,505
career_stage,7136.616501331329,149
is_summer_window,6797.68200969696,176
team_goals_6mo,6440.789155960083,513
minutes_played_6mo_zscore_vs_pos,6353.272765636444,486
weighted_minutes_12mo,6003.635520935059,473
log_value_lag_1,5993.150638580322,171
team_assists_6mo,5944.71357011795,490
log_value_career_max,5885.80960226059,520
peak_age_for_position,5478.705152511597,168
minutes_played_6mo,4679.60763168335,316
minutes_played_12mo,4435.497189998627,358
last_transfer_market_value_eur,4345.0612416267395,285
has_agent,4158.0820689201355,166
transfers_to_date,3758.6669087409973,184
played_12mo,3758.0294036865234,300
goals_per_90_6mo,3555.4280247688293,309
full90_6mo,3476.3924355506897,218
assists_per_90_6mo,3198.4470024108887,284
is_winter_window,3036.868308067322,47
log_value_lag_4,3008.106614112854,146
assist_share_team_6mo,2767.4370560646057,236
log_value_lag_2,2725.737154006958,93
cw_sum_6mo,2717.7062292099,238
chance_quality_index_6mo,2596.1489958763123,221
consec_decreases,2414.087239265442,151
goal_share_team_6mo,2404.8283772468567,210
full90_12mo,2309.8824491500854,198
played_6mo,2093.462537765503,167
weighted_goals_12mo,2036.5981550216675,177
yellow_cards_12mo,1915.9360675811768,165
started_12mo,1914.5231080055237,156
last_transfer_fee_eur,1899.6162672042847,142
weighted_goals_6mo,1724.1242151260376,131
weighted_assists_12mo,1705.4594774246216,146
weighted_assists_6mo,1517.475191116333,101
started_6mo,1465.2974619865417,104
consec_increases,1457.5433511734009,109
log_value_lag_3,1400.171238899231,111
yellow_cards_6mo,1399.6834545135498,127
foot,1282.4568367004395,108
position,1263.5930123329163,54
g_plus_a_12mo,1197.6986770629883,106
post_peak,1183.156545639038,11
log_value_lag_5,1080.7652263641357,88
g_plus_a_6mo,853.7674331665039,70
goals_12mo,691.2498183250427,60
skill_goal_share_6mo,688.8944787979126,63
assists_12mo,628.996374130249,57
n_event_goals_6mo,538.1860303878784,50
assists_6mo,490.29301834106445,37
n_skill_goals_6mo,346.1094493865967,27
goals_6mo,265.29089069366455,23
red_cards_12mo,237.1753396987915,21
red_cards_6mo,122.28088188171387,11
pre_peak,58.87086009979248,3
